country,year,mean_light
LBN,2012,1.1497644186019897
ETH,2012,0.00999447051435709
SOM,2012,0.005725598894059658
KEN,2012,0.024113520979881287
MWI,2012,0.035005562007427216
TZA,2012,0.035800520330667496
SYR,2012,0.32776546478271484
MAR,2012,0.07563518732786179
COG,2012,0.04271842539310455
COD,2012,0.022246135398745537
NAM,2012,0.022005675360560417
ZAF,2012,0.06813078373670578
OMN,2012,0.2302853763103485
LTU,2012,0.08934897929430008
CZE,2012,0.20825116336345673
DEU,2012,0.20030739903450012
EST,2012,0.16054494678974152
LVA,2012,0.10620155185461044
NOR,2012,0.002947561675682664
SWE,2012,0.1808028668165207
ARE,2012,1.3649438619613647
BEL,2012,0.5055816769599915
ALB,2012,0.16063755750656128
TUR,2012,0.3065512478351593
ESP,2012,0.12815123796463013
ARM,2012,0.05663302168250084
LBY,2012,0.1889212429523468
TUN,2012,0.2546100914478302
ROU,2012,0.12496291846036911
HUN,2012,0.11965561658143997
POL,2012,0.28133925795555115
IRL,2012,0.09024864435195923
GRC,2012,0.16309961676597595
ZMB,2012,0.04251188784837723
SLE,2012,0.043230071663856506
GIN,2012,0.03504519909620285
LBR,2012,0.0431118868291378
CAF,2012,0.01023617573082447
SDN,2012,0.03862878307700157
DJI,2012,0.023846592754125595
ERI,2012,0.0049297078512609005
AUT,2012,0.07426607608795166
IRQ,2012,1.0031938552856445
ITA,2012,0.30133000016212463
CHE,2012,0.2015555500984192
IRN,2012,0.366280198097229
CIV,2012,0.06730532646179199
MLI,2012,0.03433721512556076
SEN,2012,0.06716993451118469
NGA,2012,0.08540097624063492
BEN,2012,0.0409882552921772
AGO,2012,0.03661307319998741
HRV,2012,0.08063274621963501
QAT,2012,8.083715438842773
SAU,2012,0.3653818368911743
BWA,2012,0.04395515099167824
ZWE,2012,0.048154424875974655
BGR,2012,0.1222219467163086
TCD,2012,0.029305579140782356
KWT,2012,4.1517133712768555
DZA,2012,0.18623991310596466
MOZ,2012,0.02323451079428196
SWZ,2012,0.3603452444076538
BDI,2012,0.051393069326877594
RWA,2012,0.06109682470560074
UGA,2012,0.01034499891102314
PRT,2012,0.04010878875851631
JOR,2012,0.3347187340259552
LSO,2012,0.04575497657060623
CMR,2012,0.014238941483199596
GAB,2012,0.05487710237503052
NER,2012,0.03327076509594917
BFA,2012,0.03153737261891365
TGO,2012,0.05673879384994507
GHA,2012,0.1251213699579239
GNB,2012,0.01606213115155697
EGY,2012,0.5941665768623352
YEM,2012,0.10523024946451187
MRT,2012,0.05672118067741394
GNQ,2012,0.007368122227489948
GMB,2012,0.05439816787838936
MDG,2012,0.0301457941532135
MUS,2012,0.003687448101118207
COM,2012,0.0023252617102116346
BHR,2012,8.319499969482422
