country,year,mean_light,gdp_pcap (US dollars),population,land_area,urban_pop_rate
MLI,2013,0.0017153001390397,903.190452512378,17459615.0,1220190.0,38.398
SEN,2013,0.020133601501584,1379.831965539237,13710849.0,192530.0,45.019
NGA,2013,0.1323734819889068,2872.790833793982,181049443.0,910770.0,46.118
BEN,2013,0.0140496520325541,1168.926992792259,10708834.0,112760.0,44.642
AGO,2013,0.0198467094451189,5057.747878331633,26165620.0,1246700.0,62.002
HRV,2013,0.1662923395633697,14136.396766950453,4233922.0,55964.0,55.706
QAT,2013,7.99152135848999,103697.00837237282,1916426.0,11610.0,98.785
SAU,2013,0.343407541513443,27865.465604962024,27624004.0,2149690.0,82.74
BWA,2013,0.0099194962531328,6666.912195834866,2140682.0,566730.0,65.572
ZWE,2013,0.0197984520345926,1362.2995293239594,14013808.0,386850.0,32.654
BGR,2013,0.2034228146076202,7795.980921089284,7160005.0,108560.0,73.313
TCD,2013,0.0030875133816152,1304.8874297147463,13691079.0,1259200.0,22.248
KWT,2013,4.605650424957275,49651.04397094482,3507844.0,17820.0,100.0
DZA,2013,0.139601469039917,5979.601389605846,38414171.0,2381740.0,69.576
MOZ,2013,0.007975872606039,686.505672517351,25051611.0,786380.0,33.36
SWZ,2013,0.1770796179771423,3951.120081390057,1129990.0,17200.0,22.999
BDI,2013,0.0139089599251747,234.8430453888283,10439341.0,25680.0,11.482
RWA,2013,0.0522463098168373,704.9242179661595,11093340.0,24670.0,16.947
UGA,2013,0.0137144802138209,818.2854274167128,35337042.0,200520.0,20.958
PRT,2013,0.0484571531414985,21676.485964271385,10457295.0,91605.2,62.352
JOR,2013,0.278605043888092,4311.219167130379,7991809.0,88780.0,89.125
LSO,2013,0.040188755840063,1151.0373583722674,2056504.0,30360.0,26.101
CMR,2013,0.0055830706842243,1575.9288211889684,21402376.0,472710.0,53.373
GAB,2013,0.030772142112255,9197.701063239469,1913059.0,257670.0,87.156
NER,2013,0.0025201798416674,552.1033343631171,18519898.0,1266700.0,16.208
BFA,2013,0.0106490328907966,759.7620651684981,17695409.0,273600.0,26.346
TGO,2013,0.0215704105794429,826.5432594571259,7285442.0,54390.0,39.061
GHA,2013,0.0889090448617935,2294.795846937434,27386193.0,227540.0,52.748
GNB,2013,0.0017588350456207,654.304534409417,1695973.0,28120.0,41.31
EGY,2013,0.503724992275238,3025.525635524481,95333553.0,995450.0,42.893
YEM,2013,0.0801387205719947,1378.750029546106,29312952.0,527970.0,33.559
MRT,2013,0.0016613045008853,1934.2410306471409,3734318.0,1030700.0,49.306
GNQ,2013,0.0073777362704277,16304.071319641816,1346218.0,28050.0,69.544
GMB,2013,0.0270248539745807,653.8627132727431,2103820.0,10120.0,57.82
MDG,2013,0.0022081779316067,515.3015893618319,24109290.0,581800.0,33.878
MUS,2013,0.0040914760902523,9764.644130600447,1258927.0,1997.0,41.222
COM,2013,0.0049201692454516,1603.32653496691,696192.0,1861.0,28.223
BHR,2013,9.978230476379396,26989.760114846904,1253191.0,770.0,88.835
LBN,2014,1.3857978582382202,7577.641330236905,6346990.0,10230.0,87.947
ETH,2014,0.0056624501012265,549.9865770825876,101115610.0,1128538.3,18.998
SOM,2014,0.0002856205683201,429.4316567251017,13339491.0,627340.0,42.679
KEN,2014,0.0173408761620521,1482.8156625349743,46051440.0,569140.0,25.221
MWI,2014,0.015116412192583,529.5133440205997,16621538.0,94280.0,16.132
TZA,2014,0.0082087265327572,1022.74841308594,50351512.0,885800.0,30.904
SYR,2014,0.123498298227787,1060.5910588685424,20273659.0,183630.0,51.5
MAR,2014,0.0597491562366485,3435.40698242188,34204780.0,446300.0,60.256
COG,2014,0.0188775081187486,3601.236580871796,4975880.0,341500.0,65.085
COD,2014,0.0037026230711489,458.0045417756765,78403242.0,2267050.0,42.18
NAM,2014,0.0049148378893733,5378.323262412051,2312139.0,823290.0,45.826
ZAF,2014,0.0588971786201,6856.731370925222,55594838.0,1213090.0,64.312
OMN,2014,0.2367109656333923,23160.65022525467,4002439.0,309500.0,80.145
LTU,2014,0.1818014085292816,16446.164718166307,2937253.0,62650.0,67.108
CZE,2014,0.6643980741500854,20038.41631802569,10525347.0,77220.0,73.384
DEU,2014,0.7128360867500305,48971.082472259935,80982500.0,348900.0,77.19
EST,2014,0.2521881759166717,20581.789899169544,1314545.0,43470.0,68.269
LVA,2014,0.1289927810430526,15185.81458123595,1993782.0,62227.0,67.952
NOR,2014,0.0024848871398717,97666.69518387492,5137232.0,365108.0,80.692
