country,year,land_area
TCD,2014,1259200.0
TGO,2014,54390.0
TUN,2014,155360.0
TUR,2014,769630.0
TZA,2014,885800.0
UGA,2014,200520.0
YEM,2014,527970.0
ZAF,2014,1213090.0
ZMB,2014,743390.0
ZWE,2014,386850.0
AGO,2015,1246700.0
ALB,2015,27400.0
ARE,2015,71020.0
ARM,2015,28470.0
AUT,2015,82520.0
BDI,2015,25680.0
BEL,2015,30333.0
BEN,2015,112760.0
BFA,2015,273600.0
BGR,2015,108560.0
BHR,2015,778.0
BWA,2015,566730.0
CAF,2015,622980.0
CHE,2015,39510.23
CIV,2015,318000.0
CMR,2015,472710.0
COD,2015,2267050.0
COG,2015,341500.0
COM,2015,1861.0
CZE,2015,77210.0
DEU,2015,348860.0
DJI,2015,23180.0
DNK,2015,40000.0
DZA,2015,2381741.0
EGY,2015,995450.0
ERI,2015,121088.775
ESP,2015,499661.0
EST,2015,43470.0
ETH,2015,1128539.4
FIN,2015,303910.0
FRA,2015,538950.0
GAB,2015,257670.0
GBR,2015,241930.0
GHA,2015,227540.0
GIN,2015,245720.0
GMB,2015,10120.0
GNB,2015,28120.0
GNQ,2015,28050.0
GRC,2015,128900.0
HRV,2015,55964.0
HUN,2015,91260.0
IRL,2015,68890.0
IRN,2015,1628760.0
IRQ,2015,434128.0
ITA,2015,295718.0
JOR,2015,88780.0
KEN,2015,571096.05
KWT,2015,17820.0
LBN,2015,10230.0
LBR,2015,96320.0
LBY,2015,1759540.0
LSO,2015,30360.0
LTU,2015,62650.0
LVA,2015,62227.0
MAR,2015,446300.0
MDG,2015,581800.0
MLI,2015,1220190.0
MOZ,2015,786380.0
MRT,2015,1030700.0
MUS,2015,1997.0
MWI,2015,94280.0
NAM,2015,823290.0
NER,2015,1266700.0
NGA,2015,910770.0
NLD,2015,33670.0
NOR,2015,365190.7
OMN,2015,309500.0
POL,2015,306190.0
PRT,2015,91605.6
QAT,2015,11490.0
ROU,2015,230080.0
RWA,2015,24670.0
SAU,2015,2149690.0
SDN,2015,1868000.0
SEN,2015,192530.0
SLE,2015,72180.0
SOM,2015,627340.0
SSD,2015,631930.0
SWE,2015,407310.64
SWZ,2015,17200.0
SYR,2015,183630.0
TCD,2015,1259200.0
TGO,2015,54390.0
TUN,2015,155360.0
TUR,2015,769630.0
TZA,2015,885800.0
UGA,2015,200520.0
YEM,2015,527970.0
ZAF,2015,1213090.0
ZMB,2015,743390.0
ZWE,2015,386850.0
AGO,2016,1246700.0
ALB,2016,27400.0
ARE,2016,71020.0
ARM,2016,28470.0
AUT,2016,82520.0
BDI,2016,25680.0
BEL,2016,30333.0
BEN,2016,112760.0
BFA,2016,273600.0
BGR,2016,108560.0
BHR,2016,779.0
BWA,2016,566730.0
CAF,2016,622980.0
CHE,2016,39509.63
CIV,2016,318000.0
CMR,2016,472710.0
COD,2016,2267050.0
COG,2016,341500.0
COM,2016,1861.0
CZE,2016,77210.0
DEU,2016,349360.0
DJI,2016,23180.0
DNK,2016,40000.0
DZA,2016,2381741.0
EGY,2016,995450.0
ERI,2016,121077.459
ESP,2016,499564.0
EST,2016,43470.0
ETH,2016,1128558.5
FIN,2016,303910.0
FRA,2016,538950.0
GAB,2016,257670.0
GBR,2016,241930.0
GHA,2016,227540.0
GIN,2016,245720.0
GMB,2016,10120.0
GNB,2016,28120.0
GNQ,2016,28050.0
GRC,2016,128900.0
HRV,2016,55964.0
HUN,2016,91260.0
IRL,2016,68890.0
IRN,2016,1628760.0
IRQ,2016,434128.0
ITA,2016,295718.0
JOR,2016,88780.0
KEN,2016,573052.1
KWT,2016,17820.0
LBN,2016,10230.0
LBR,2016,96320.0
LBY,2016,1759540.0
LSO,2016,30360.0
LTU,2016,62642.0
LVA,2016,62227.0
MAR,2016,446300.0
MDG,2016,581800.0
MLI,2016,1220190.0
MOZ,2016,786380.0
MRT,2016,1030700.0
MUS,2016,1997.0
MWI,2016,94280.0
NAM,2016,823290.0
NER,2016,1266700.0
NGA,2016,910770.0
NLD,2016,33670.0
NOR,2016,365145.73
OMN,2016,309500.0
POL,2016,306190.0
PRT,2016,91605.6
QAT,2016,11490.0
ROU,2016,230080.0
RWA,2016,24670.0
SAU,2016,2149690.0
SDN,2016,1868000.0
SEN,2016,192530.0
SLE,2016,72180.0
SOM,2016,627340.0
SSD,2016,631930.0
SWE,2016,407310.64
SWZ,2016,17200.0
SYR,2016,183630.0
TCD,2016,1259200.0
TGO,2016,54390.0
TUN,2016,155360.0
TUR,2016,769630.0
TZA,2016,885800.0
UGA,2016,200520.0
YEM,2016,527970.0
ZAF,2016,1213090.0
ZMB,2016,743390.0
ZWE,2016,386850.0
AGO,2017,1246700.0
ALB,2017,27400.0
ARE,2017,71020.0
ARM,2017,28470.0
AUT,2017,82520.0
BDI,2017,25680.0
BEL,2017,30333.0
BEN,2017,112760.0
BFA,2017,273600.0
BGR,2017,108560.0
BHR,2017,780.0
BWA,2017,566730.0
CAF,2017,622980.0
CHE,2017,39509.63
CIV,2017,318000.0
CMR,2017,472710.0
COD,2017,2267050.0
COG,2017,341500.0
COM,2017,1861.0
CZE,2017,77210.0
DEU,2017,349370.0
DJI,2017,23180.0
DNK,2017,40000.0
DZA,2017,2381741.0
EGY,2017,995450.0
ERI,2017,121071.23300000001
ESP,2017,499547.35
EST,2017,42750.0
ETH,2017,1128552.8
FIN,2017,303920.0
FRA,2017,538950.0
GAB,2017,257670.0
GBR,2017,241930.0
GHA,2017,227540.0
GIN,2017,245720.0
GMB,2017,10120.0
GNB,2017,28120.0
GNQ,2017,28050.0
GRC,2017,128900.0
HRV,2017,55964.0
HUN,2017,91260.0
IRL,2017,68890.0
IRN,2017,1622500.0
IRQ,2017,434128.0
ITA,2017,295718.0
JOR,2017,88780.0
KEN,2017,575008.15
KWT,2017,17820.0
LBN,2017,10230.0
LBR,2017,96320.0
LBY,2017,1759540.0
LSO,2017,30360.0
LTU,2017,62641.0
LVA,2017,62227.0
MAR,2017,446300.0
MDG,2017,581800.0
MLI,2017,1220190.0
MOZ,2017,786380.0
MRT,2017,1030700.0
MUS,2017,1997.0
MWI,2017,94280.0
NAM,2017,823290.0
NER,2017,1266700.0
NGA,2017,910770.0
NLD,2017,33670.0
NOR,2017,365123.0
OMN,2017,309500.0
POL,2017,306190.0
PRT,2017,91605.6
QAT,2017,11490.0
ROU,2017,230080.0
RWA,2017,24670.0
SAU,2017,2149690.0
SDN,2017,1868000.0
SEN,2017,192530.0
SLE,2017,72180.0
