country,year,urban_pop_rate
AFG,2023,26.933
AGO,2023,68.688
ALB,2023,64.603
ARE,2023,87.779
ARM,2023,63.739
AUT,2023,59.53
BDI,2023,14.784
BEL,2023,98.189
BEN,2023,50.1
BFA,2023,32.52
BGD,2023,40.473
BGR,2023,76.701
BHR,2023,89.869
BWA,2023,72.867
CAF,2023,43.614
CHE,2023,74.202
CHN,2023,64.57
CIV,2023,53.149
CMR,2023,59.315
COD,2023,47.444
COG,2023,69.188
COM,2023,30.132
CZE,2023,74.552
DEU,2023,77.765
DJI,2023,78.552
DNK,2023,88.495
DZA,2023,75.268
EGY,2023,43.1
ERI,2023,43.267
ESP,2023,81.552
EST,2023,69.81
ETH,2023,23.157
FIN,2023,85.773
FRA,2023,81.777
GAB,2023,91.029
GBR,2023,84.642
GHA,2023,59.238
GIN,2023,38.085
GMB,2023,64.472
GNB,2023,45.466
GNQ,2023,74.448
GRC,2023,80.673
HRV,2023,58.575
HUN,2023,72.864
IDN,2023,58.572
IND,2023,36.364
IRL,2023,64.466
IRN,2023,77.257
IRQ,2023,71.599
ITA,2023,71.973
JOR,2023,92.02
JPN,2023,92.043
KAZ,2023,58.179
KEN,2023,29.52
KGZ,2023,37.801
KHM,2023,25.57
KOR,2023,81.456
KWT,2023,100.0
LAO,2023,38.247
LBN,2023,89.432
LBR,2023,53.567
LBY,2023,81.606
LKA,2023,19.211
LSO,2023,30.415
LTU,2023,68.694
LVA,2023,68.671
MAR,2023,65.121
MDG,2023,40.556
MLI,2023,46.189
MMR,2023,32.112
MNG,2023,69.089
MOZ,2023,38.753
MRT,2023,57.699
MUS,2023,40.867
MWI,2023,18.28
MYS,2023,78.716
NAM,2023,54.886
NER,2023,17.054
NGA,2023,54.283
NLD,2023,93.179
NOR,2023,83.995
NPL,2023,21.903
OMN,2023,88.4
PAK,2023,38.04
PHL,2023,48.287
POL,2023,60.218
PRT,2023,67.906
QAT,2023,99.354
ROU,2023,54.672
RWA,2023,17.892
SAU,2023,84.95
SDN,2023,36.342
SEN,2023,49.579
SGP,2023,100.0
SLE,2023,44.3
SOM,2023,47.92
SSD,2023,21.195
SWE,2023,88.738
SWZ,2023,24.79
SYR,2023,57.409
TCD,2023,24.366
TGO,2023,44.49
THA,2023,53.608
TJK,2023,28.234
TKM,2023,54.003
TUN,2023,70.544
TUR,2023,77.463
TZA,2023,37.409
UGA,2023,26.771
UZB,2023,50.532
VNM,2023,39.48
YEM,2023,39.831
ZAF,2023,68.819
ZMB,2023,46.335
ZWE,2023,32.517
AFG,2024,27.265
AGO,2024,69.281
ALB,2024,65.38
ARE,2024,88.008
ARM,2024,63.929
AUT,2024,59.819
BDI,2024,15.16
BEL,2024,98.224
BEN,2024,50.669
BFA,2024,33.166
BGD,2024,41.23
BGR,2024,77.037
BHR,2024,89.999
BWA,2024,73.49
CAF,2024,44.13
CHE,2024,74.327
CHN,2024,65.544
CIV,2024,53.644
CMR,2024,59.892
COD,2024,48.055
COG,2024,69.638
COM,2024,30.418
CZE,2024,74.738
DEU,2024,77.895
DJI,2024,78.732
DNK,2024,88.626
DZA,2024,75.748
EGY,2024,43.258
ERI,2024,43.911
ESP,2024,81.802
EST,2024,70.019
ETH,2024,23.661
FIN,2024,85.872
FRA,2024,82.044
GAB,2024,91.307
GBR,2024,84.884
GHA,2024,59.854
GIN,2024,38.517
GMB,2024,65.08
GNB,2024,45.893
GNQ,2024,74.874
GRC,2024,80.984
HRV,2024,58.945
HUN,2024,73.179
IDN,2024,59.204
IND,2024,36.867
IRL,2024,64.76
IRN,2024,77.698
IRQ,2024,71.853
ITA,2024,72.292
JOR,2024,92.206
JPN,2024,92.134
KAZ,2024,58.387
KEN,2024,30.049
KGZ,2024,38.166
KHM,2024,26.035
KOR,2024,81.498
KWT,2024,100.0
LAO,2024,38.906
LBN,2024,89.603
LBR,2024,54.077
LBY,2024,81.907
LKA,2024,19.416
LSO,2024,30.897
LTU,2024,68.936
LVA,2024,68.815
MAR,2024,65.643
MDG,2024,41.231
MLI,2024,46.934
MMR,2024,32.47
MNG,2024,69.263
MOZ,2024,39.326
MRT,2024,58.458
MUS,2024,40.944
MWI,2024,18.598
MYS,2024,79.201
NAM,2024,55.795
NER,2024,17.232
NGA,2024,55.03
NLD,2024,93.453
NOR,2024,84.318
NPL,2024,22.366
OMN,2024,88.998
PAK,2024,38.365
PHL,2024,48.614
POL,2024,60.33
PRT,2024,68.423
QAT,2024,99.387
ROU,2024,54.88
RWA,2024,18.081
SAU,2024,85.171
SDN,2024,36.752
SEN,2024,50.08
SGP,2024,100.0
SLE,2024,44.779
SOM,2024,48.519
SSD,2024,21.56
SWE,2024,88.976
SWZ,2024,25.013
SYR,2024,58.044
TCD,2024,24.691
TGO,2024,45.064
THA,2024,54.32
TJK,2024,28.523
TKM,2024,54.524
TUN,2024,70.88
TUR,2024,77.893
TZA,2024,38.136
UGA,2024,27.389
UZB,2024,50.626
VNM,2024,40.195
YEM,2024,40.477
ZAF,2024,69.298
ZMB,2024,46.914
ZWE,2024,32.67
